iter	Passed	Remaining
0	9	8994
1	17	8735
2	27	9035
3	33	8432
4	44	8920
5	51	8583
6	62	8828
7	70	8684
8	79	8704
9	87	8689
10	96	8689
11	105	8692
12	113	8582
13	122	8620
14	132	8713
15	139	8576
16	149	8629
17	156	8561
18	167	8633
19	175	8580
20	184	8593
21	194	8628
22	203	8653
23	211	8583
24	217	8487
25	228	8561
26	234	8440
27	244	8493
28	255	8552
29	258	8363
30	262	8190
31	265	8019
32	268	7873
33	272	7746
34	281	7775
35	292	7842
36	301	7846
37	311	7882
38	319	7873
39	327	7871
40	334	7822
41	345	7884
42	356	7941
43	366	7965
44	376	7989
45	380	7883
46	383	7767
47	386	7662
48	390	7570
49	394	7490
50	397	7401
51	401	7313
52	404	7230
53	407	7145
54	411	7075
55	415	6997
56	418	6929
57	422	6856
58	425	6791
59	429	6722
60	433	6668
61	436	6606
62	438	6528
63	442	6469
64	446	6417
65	449	6357
66	452	6307
67	455	6247
68	459	6200
69	462	6148
70	466	6104
71	469	6054
72	473	6013
73	477	5971
74	480	5931
75	484	5887
76	487	5848
77	491	5806
78	494	5769
79	498	5728
80	501	5693
81	505	5656
82	508	5623
83	512	5584
84	515	5550
85	518	5514
86	522	5487
87	526	5452
88	529	5422
89	532	5386
90	536	5356
91	539	5322
92	542	5291
93	545	5258
94	549	5233
95	552	5203
96	555	5175
97	559	5145
98	562	5120
99	565	5093
100	569	5069
101	573	5044
102	576	5023
103	579	4996
104	583	4973
105	586	4948
106	590	4926
107	593	4903
108	597	4883
109	600	4859
110	604	4839
111	607	4816
112	610	4790
113	614	4777
114	618	4757
115	621	4736
116	625	4717
117	628	4697
118	631	4678
119	635	4657
120	638	4639
121	641	4619
122	645	4603
123	649	4585
124	652	4568
125	655	4548
126	659	4532
127	662	4516
128	666	4503
129	670	4484
130	673	4467
131	676	4448
132	680	4433
133	683	4419
134	687	4403
135	690	4387
136	694	4372
137	697	4354
138	700	4338
139	703	4324
140	707	4308
141	710	4292
142	714	4280
143	717	4265
144	720	4251
145	724	4235
146	727	4223
147	730	4207
148	734	4193
149	738	4182
150	741	4169
151	744	4154
152	748	4142
153	751	4128
154	754	4115
155	758	4104
156	762	4092
157	765	4077
158	768	4064
159	772	4054
160	775	4042
161	778	4027
162	781	4013
163	784	4001
164	788	3989
165	791	3976
166	794	3965
167	798	3953
168	801	3939
169	804	3929
170	808	3918
171	811	3904
172	814	3894
173	817	3882
174	821	3872
175	824	3861
176	828	3850
177	831	3838
178	834	3826
179	837	3815
180	840	3802
181	844	3793
182	847	3784
183	850	3772
184	854	3764
185	857	3754
186	861	3745
187	864	3733
188	867	3722
189	870	3709
190	873	3697
191	876	3686
192	879	3676
193	882	3664
194	885	3653
195	888	3645
196	891	3635
197	895	3625
198	898	3614
199	901	3604
200	904	3596
201	907	3586
202	911	3579
203	914	3568
204	917	3557
205	920	3548
206	923	3538
207	926	3527
208	930	3520
209	933	3510
210	936	3500
211	939	3490
212	942	3481
213	945	3471
214	948	3461
215	951	3451
216	954	3444
217	957	3434
218	960	3425
219	963	3415
220	967	3409
